Sl No,Brand Name,Composition,Name of Manufacturer,BATCH NO.,EXPIRY,Packing Unit,GST %,MRP(incl of tax),Unit Rate to 24RX (excl of tax),Unit Rate to 24RX (incl of tax),HSN Code
,,,,,,,,,,0,
,,,,,,,,,,0,
