Brand Name,Composition,Manufacturer,Form,Strength,Batch No,Expiry Date,Stock,GST %,MRP,List Price
TIGEMOR ,TIGECYCLINE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50 MG,TMR-03,01-09-2027,89,5,3749.00,135
VANACIN-CP,VANCOMYCIN HCL INJ. ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,25GI18F,01-08-2027,3960,5,339.00,43
VANACIN-CP,VANCOMYCIN HCL INJ.,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 G,25GK05M,01-10-2027,5800,5,502.00,77
CASFUNGEN*,CASPOFUNGIN ACETATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50 MG,LY42520C,01-11-2027,300,5,14999.00,945
CASFUNGEN*,CASPOFUNGIN ACETATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,70 MG,K17724001,01-11-2027,100,5,14999.00,945
CLOPAM,PRALIDOXIME CHORIDE INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1 G,,,,5,356.00,74
CBIC  ,ASCORBIC ACID INJECTION IP,CHANDRA BHAGAT PHARMA LTD,INJECTION, 6ML,CVC-07,01-11-2027,6000,5,467.00,18
MAXIPARINE,ENOXAPARIN SODIUM INJ  ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG/0.4ML,25PI061A,01-08-2027,200,5,478.00,75
MAXIPARINE,ENOXAPARIN SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,60MG/0.6ML,25PI063C,01-08-2027,1065,5,717.00,85
THROMBOPARIN ,HEPARIN SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,"5,000IU/5ML",25VL166H,01-11-2027,9866,5,113.00,23
THROMBOPARIN ,HEPARIN SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,"25,000 IU/5ML",25VI133B,01-08-2027,1200,5,320.00,75
FALSUN ,ARTESUNATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,60 MG,25GL38B,01-11-2027,6110,5,261.00,18
FALSUN ,ARTESUNATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,120 MG,25GL21E,01-11-2027,5935,5,485.00,25
HERZOVIR ,ACYCLOVIR INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,250 MG,25GH18A,01-07-2027,7545,5,455.00,18
HERZOVIR ,ACYCLOVIR INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,25GJ24O,01-09-2027,5890,5,564.00,26
CBMOL ,PARACETAMOL INFUSION INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1 G /100 ML,250133,01-07-2027,8760,5,607.00,21
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG,MSPS-20,01-09-2027,1780,5,48.70,18
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,125 MG,MPSS-11,01-10-2027,5910,5,374.00,30
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG,MSPM-17,01-08-2027,8060,5,749.00,100
MPSS,METHYL PREDNISOLONE SODIUM SUCCINATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 G,MSPL-14,01-10-2027,300,5,1499.00,190
MULTICORT,HYDROCORTISONE SODIUM SUCCINATE INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100MG ,25GI09O,01-08-2027,3565,5,47.80,13
CBCETAM ,LEVETIRICETAM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100MG/5ML,CBCT-13,01-11-2027,30000,5,122.00,12
MANNIGYL,MANNITOL WITH GLYCERIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100 ML,250244,01-10-2027,2390,5,407.00,30
ANTACER,ESOMEPRAZOLE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG,25GJ10G,01-09-2027,5410,5,337.00,16
CBRAB,RABEPRAZOLE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,20 MG,CBRB-08,01-02-2027,2850,5,447.00,16
PANPROZOLE ,PANTOPRAZOLE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,40 MG,25GI21A,01-08-2027,13088,5,53.90,7.5
SCOLAX*,SUCCINYL CHOLINE CHLORIDE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG/10ML,GL071125,01-10-2027,10150,5,55.60,30
NEWPOL,PROPOFOL 1% W/V ,CHANDRA BHAGAT PHARMA LTD,INJECTION,10MG/20ML,,,,5,,
CBHAEMO,FERRIC CARBOXYMALTOSE INJECTION ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50MG/ML,CBHL-01,01-07-2027,873,5,3281.00,245
CBHAEMO,FERRIC CARBOXYMALTOSE INJECTION,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1G/20ML,CBHM-01,01-07-2027,776,5,6561.00,130
CEFROX-500,CEFUROXIME AXETIL TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,500 MG,CT25227A,01-05-2027,880,5,549.00,96
CLAUVMENTIN-625,AMOXYCILLIN & POTASSIUM CLAVULANATE TAB,CHANDRA BHAGAT PHARMA LTD,TABLET, 625 MG,AT25170C,01-12-2026,2040,5,195.00,74
CBRAB-DSR ,RABEPRAZOLE 20MG (EC)+DOMPERIDON 30 MG CAPS (SR) TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,20MG+30MG,UC-251055C,01-10-2027,4160,5,196.00,10
CB-RYSIN,TRYPSIN IP 48 MG BROMELAIN 90 MG  RUTOSIDE TRIHYDRATE TAB   ,CHANDRA BHAGAT PHARMA LTD,TABLET,48 MG + 90 MG,U2052T,01-05-2026,1166,5,206.00,21
CBPENIN  ,FAROPENEM SODIUM 200MG POTASSIUM CLAVULANATE 125 MG TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,200 MG+ 125 MG,CBT25089B,01-03-2027,303,5,1171.00,358
CBXIME ,CEFUROXIME 500MG + CLAVULANIC ACID 125 MG TAB,CHANDRA BHAGAT PHARMA LTD,TABLET,500MG + 125MG,CT25352I,01-07-2027,1980,5,515.00,149
CBSHINE ,COLLAGEN PEPTIDE  TYPE II 40 MG SODIUM NYALURONATE 30 MG CHONDROTIN  SULPHATE  200 MG VITAMIN C 35 MG TAB,CHANDRA BHAGAT PHARMA LTD,TABLET,40MG+30MG+200MG+35 MG,ADL-1081,01-10-2027,2448,5,281.00,24
CBAMINE ,"GLUCOSAMINE SULPHATE POTASSIUN CHLORIDE, METHYL SULPHONYL METHANE & DIACEREIN TAB",CHANDRA BHAGAT PHARMA LTD,TABLET,,ATT-007,01-06-2026,106,5,276.00,36
CB-FLOCORT,FLUDROCORTISONE ACETATE 100 MCG,CHANDRA BHAGAT PHARMA LTD,TABLET,100 MCG,CB/CBFT-002,01-02-2027,3000,5,141.00,45
CBHYCOT ,HYDROCORTISONE TAB,CHANDRA BHAGAT PHARMA LTD,TABLET, 5 MG,T505210,01-04-2027,2000,5,32.65,20
CBHYCOT ,HYDROCORTISONE TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,10 MG,T505213,01-04-2027,2000,5,70.35,35
CBHYCOT ,HYDROCORTISONE TAB ,CHANDRA BHAGAT PHARMA LTD,TABLET,20 MG,T505214,01-04-2027,1000,5,156.00,65
DISTOSIDE,PRAZIQUANTEL TABS ,CHANDRA BHAGAT PHARMA LTD,TABLET,600 MG,H5016,01-07-2028,16778,5,184.80,65
LEVONAST ,LEVOCETIRIZINE HYDROCHLORIDE 5MG  & MONTELUKAST SODIUM 10 MG TAB,CHANDRA BHAGAT PHARMA LTD,TABLET,5MG+10 MG,UGT-25433G,01-03-2027,3530,5,126.00,9
MUSTONE(ALUALU STRIP),PYRIDOSTIGMINE BROMIDE TABS,CHANDRA BHAGAT PHARMA LTD,TABLET, 60 MG,WG25649,01-08-2027,21290,5,101.00,35
ATCURIUM,ATRACURIUM BESYLATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,25 MG/2.5M,,,,5,45.30,20
ARGIPRESS,VASOPRESSIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,20UNITS/1ML,A25216C,01-08-2027,17105,5,408.00,24.00
CBC-PAM,PRALIDOXIME IODIDE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500 MG / 20 ML,CM25007,01-08-2027,3740,5,280.00,20.00
CBDIONE ,PHYTOMENADIONE INJECTION IP ,CHANDRA BHAGAT PHARMA LTD,INJECTION,10MG/ML,402,01-11-2026,1270,5,56.70,8.50
CBCHLORIDE,THIAMINE HCL(VIT B1) INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100MG/1ML,3CBH001,01-05-2026,28490,5,28.50,4.50
CBCHLORIDE,THIAMINE HCL(VIT B1) INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,200MG/2ML,CY24001,01-09-2027,16180,5,57.00,5.80
CBC-AD,ADRENALINE BITARTRATE  INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1MG/1ML,L1602517B,01-05-2027,20080,5,13.00,3.90
CBRONE,AMIODARONE STERILE CONCENTRATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,150MG/3ML,406,01-09-2026,7080,5,67.70,11.00
CBCINE ,ADENOSINE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,6MG/2ML,411,01-09-2026,15543,5,198.40,10.00
CBCMG ,MAGNESIUM SULPHATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1000MG/2ML,405,01-09-2026,7200,5,10.40,3.80
CBLITE,POTASSIUM CHLORID FOR INJ CONCE USP ,CHANDRA BHAGAT PHARMA LTD,INJECTION,15% W/V/10ML,517,01-07-2027,2000,5,25.60,5.60
CBIONATE ,CALCIUM GLUCONATE & CALCIUM LACTOBIONATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50MG+87.5MG,501,01-12-2026,4984,5,112.00,18.60
CBRAC ,PIRACETAM INJ  ,CHANDRA BHAGAT PHARMA LTD,INJECTION,3 MG/15 ML,UC-251055C,01-09-2026,4160,5,177.00,17.00
CBCOXIDE ,"MECOBALAMIN,PYRIDOXINE HCL & NIACINAMIDE INJ ",CHANDRA BHAGAT PHARMA LTD,INJECTION,2ML,CB-4934,01-06-2027,10743,5,374.00,9.50
DOBIER S ,DOBUTAMINE HCL INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,250MG/5ML,25AL234A,01-11-2027,25000,5,48.20,15.50
DOPACEF  ,DOPAMINE HCL INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 200MG/5 ML,A25277B,01-10-2027,20000,5,25.40,9.00
FEROFER,IRON SUCROSE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100MG/5ML,C3FER001,01-10-2027,5000,5,306.00,21.50
GLYPROLATE,GLYCOPYRROLATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,0.2MG/ML,414,01-11-2026,890,5,15.50,4.20
HEPNOTEL ,L-ORNITHINE L-ASPARTATE INFUSION INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,5G/10ML,C3HEN002,01-06-2027,3900,5,371.00,26.00
HYTISONE ,DEXAMETHASONE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,8MG/2ML,HY-3633,01-06-2027,19600,5,10.80,3.60
LITPRESS*,TERLIPRESSIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,1 MG /10 ML,L0702516A,01-10-2027,2767,5,2999.00,60.00
MUFOST ,ACETYLCYSTEINE SOLUTION INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,400 MG / 2 ML,25LJ27H,01-09-2027,13600,5,50.50,7.00
MUFOST,ACETYLCYSTEINE SOLUTION INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 1 GM / 5 ML,25LC03A,01-02-2027,8335,5,126.20,12.00
MYOCHOLINE ,CITICOLINE SODIUM INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,500MG/2ML,C3MYO001,01-07-2027,3717,5,195.00,19.00
NEUROVON ,EDARAVONE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,30MG/20ML,BB25005,01-10-2027,3109,5,936.00,65.00
NITROVIR ,NITROGLYCERIN INJ. ,CHANDRA BHAGAT PHARMA LTD,INJECTION,25 MG / 5 ML,BU25011,01-11-2027,25375,5,33.00,12.00
NITROVIR ,NITROGLYCERIN INJ.,CHANDRA BHAGAT PHARMA LTD,INJECTION, 50 MG / 10 ML,BU24002,01-03-2026,6495,5,66.10,20.00
NOREPIRIN,NORADRENALINE BITARTRATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,4 MG / 2 ML,C3N0E004,01-06-2027,1920,5,43.00,7.50
SAMCY,CLINDAMYCIN INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,300MG/2ML,C3SAC001,01-02-2027,4987,5,129.00,15.00
SAMCY,CLINDAMYCIN INJ. ,CHANDRA BHAGAT PHARMA LTD,INJECTION,600MG/4ML,BP25002,01-08-2027,10515,5,258.00,27.00
SANTRON ,ONDANSETRON INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 4 MG/ 2ML,C3SAN001,01-12-2026,19600,5,12.70,2.50
SANTRON ,ONDANSETRON  INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,8 MG/ 4ML,C3SAT001,01-05-2027,25840,5,25.40,4.50
SOCARAB,SODIUM BICARBONATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,7.5% 10 ML,520,01-06-2027,8343,5,10.80,6.00
SOCARAB,SODIUM BICARBONATE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,7.5% 25 ML,417,01-09-2026,1920,5,27.00,12.00
SCOLAX*,SUCCINYL CHOLINE CHLORIDE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100 MG/2 ML,125060,01-11-2027,77400,5,11.10,16.00
TRAMIC ,TRANEXAMIC ACID INJ,CHANDRA BHAGAT PHARMA LTD,INJECTION, 500 MG/5ML,C3TAM004,01-10-2027,30000,5,73.20,8.80
V-STAT*,OCTREOTIDE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,50 MCG / ML,A4OA03A,01-12-2026,2470,5,345.00,30.00
V-STAT*,OCTREOTIDE INJ ,CHANDRA BHAGAT PHARMA LTD,INJECTION,100 MCG / ML,L0622507B,01-06-2027,6184,5,639.00,40.00
